TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	15/04/23
TIME	12:57:07
SPECTROMETER/DATA SYSTEM	
LOCALE	1045
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	REFLECTANCE
FIRSTX	 2000,0000
LASTX	  200,0000
NPOINTS	    1801
FIRSTY	    70,89654
MAXY	    81,29649
MINY	    16,75885
XYDATA
1728,0000	74,9136
1727,0000	74,8586
1726,0000	74,8141
1725,0000	74,9609
1724,0000	74,9228
1723,0000	75,1088
1722,0000	75,1933
1721,0000	75,0139
1720,0000	75,1154
1719,0000	74,8648
1718,0000	74,7828
1717,0000	74,9651
1716,0000	74,8037
1715,0000	75,144
1714,0000	75,2646
1713,0000	75,293
1712,0000	75,3529
1711,0000	75,1355
1710,0000	74,9455
1709,0000	74,7638
1708,0000	74,8554
1707,0000	75,1065
1706,0000	75,3009
1705,0000	75,4024
1704,0000	75,4458
1703,0000	75,1833
1702,0000	74,9738
1701,0000	74,8154
1700,0000	74,7176
1699,0000	74,7138
1698,0000	74,9539
1697,0000	75,1329
1696,0000	75,0887
1695,0000	75,0963
1694,0000	75,0351
1693,0000	75,0884
1692,0000	75,2167
1691,0000	75,397
1690,0000	75,3671
1689,0000	75,3347
1688,0000	75,2816
1687,0000	75,1526
1686,0000	75,3417
1685,0000	75,2726
1684,0000	75,2108
1683,0000	75,2938
1682,0000	75,0753
1681,0000	75,165
1680,0000	75,2188
1679,0000	75,199
1678,0000	75,2928
1677,0000	75,1952
1676,0000	75,2229
1675,0000	75,2359
1674,0000	75,3218
1673,0000	75,3498
1672,0000	75,4158
1671,0000	75,4312
1670,0000	75,2772
1669,0000	75,3346
1668,0000	75,2729
1667,0000	75,2619
1666,0000	75,3192
1665,0000	75,4238
1664,0000	75,4764
1663,0000	75,4831
1662,0000	75,5526
1661,0000	75,4778
1660,0000	75,554
1659,0000	75,6575
1658,0000	75,6166
1657,0000	75,5197
1656,0000	75,3937
1655,0000	75,3609
1654,0000	75,2709
1653,0000	75,4142
1652,0000	75,5348
1651,0000	75,6336
1650,0000	75,668
1649,0000	75,5629
1648,0000	75,4402
1647,0000	75,2889
1646,0000	75,3884
1645,0000	75,4422
1644,0000	75,5664
1643,0000	75,5632
1642,0000	75,5165
1641,0000	75,4348
1640,0000	75,3079
1639,0000	75,4036
1638,0000	75,4418
1637,0000	75,5625
1636,0000	75,6005
1635,0000	75,5825
1634,0000	75,5315
1633,0000	75,4536
1632,0000	75,5498
1631,0000	75,3728
1630,0000	75,4438
1629,0000	75,731
1628,0000	75,6865
1627,0000	75,8537
1626,0000	75,8713
1625,0000	75,6377
1624,0000	75,6625
1623,0000	75,682
1622,0000	75,6749
1621,0000	75,7117
1620,0000	75,6341
1619,0000	75,5827
1618,0000	75,562
1617,0000	75,484
1616,0000	75,6336
1615,0000	75,6423
1614,0000	75,6641
1613,0000	75,8538
1612,0000	75,7975
1611,0000	75,7184
1610,0000	75,7649
1609,0000	75,5939
1608,0000	75,5719
1607,0000	75,7716
1606,0000	75,8198
1605,0000	75,8299
1604,0000	75,8534
1603,0000	75,8489
1602,0000	75,6322
1601,0000	75,688
1600,0000	75,6842
1599,0000	75,7023
1598,0000	75,8433
1597,0000	75,9419
1596,0000	75,9828
1595,0000	75,8883
1594,0000	75,907
1593,0000	75,8284
1592,0000	75,7484
1591,0000	75,8174
1590,0000	75,9168
1589,0000	76,0384
1588,0000	76,1185
1587,0000	76,0642
1586,0000	75,9677
1585,0000	75,8935
1584,0000	76,0612
1583,0000	76,0661
1582,0000	76,0197
1581,0000	75,9721
1580,0000	75,7662
1579,0000	75,8191
1578,0000	75,9238
1577,0000	75,9278
1576,0000	76,0089
1575,0000	75,9488
1574,0000	76,0227
1573,0000	76,1045
1572,0000	76,1491
1571,0000	76,3111
1570,0000	76,1984
1569,0000	76,1914
1568,0000	76,0709
1567,0000	76,0009
1566,0000	76,0459
1565,0000	76,0204
1564,0000	76,1323
1563,0000	76,1434
1562,0000	76,2295
1561,0000	76,2286
1560,0000	76,1837
1559,0000	76,1232
1558,0000	76,0283
1557,0000	76,0508
1556,0000	75,9592
1555,0000	75,9837
1554,0000	75,9399
1553,0000	75,9727
1552,0000	76,1273
1551,0000	76,0797
1550,0000	76,2164
1549,0000	76,2888
1548,0000	76,3438
1547,0000	76,4049
1546,0000	76,3179
1545,0000	76,3163
1544,0000	76,2787
1543,0000	76,3756
1542,0000	76,3507
1541,0000	76,3155
1540,0000	76,2793
1539,0000	76,2577
1538,0000	76,3323
1537,0000	76,3702
1536,0000	76,4178
1535,0000	76,3231
1534,0000	76,3717
1533,0000	76,3637
1532,0000	76,2832
1531,0000	76,288
1530,0000	76,241
1529,0000	76,312
1528,0000	76,3377
1527,0000	76,5254
1526,0000	76,4332
1525,0000	76,3064
1524,0000	76,3511
1523,0000	76,2153
1522,0000	76,3553
1521,0000	76,3737
1520,0000	76,3547
1519,0000	76,4109
1518,0000	76,3872
1517,0000	76,4204
1516,0000	76,4038
1515,0000	76,3362
1514,0000	76,3799
1513,0000	76,3514
1512,0000	76,4725
1511,0000	76,5566
1510,0000	76,5587
1509,0000	76,6448
1508,0000	76,4996
1507,0000	76,4388
1506,0000	76,3886
1505,0000	76,3397
1504,0000	76,3551
1503,0000	76,3717
1502,0000	76,3392
1501,0000	76,3887
1500,0000	76,3451
1499,0000	76,4155
1498,0000	76,4908
1497,0000	76,4459
1496,0000	76,5138
1495,0000	76,5405
1494,0000	76,5854
1493,0000	76,5629
1492,0000	76,646
1491,0000	76,5931
1490,0000	76,4918
1489,0000	76,4824
1488,0000	76,4022
1487,0000	76,4348
1486,0000	76,6359
1485,0000	76,7198
1484,0000	76,8248
1483,0000	76,8038
1482,0000	76,6595
1481,0000	76,6212
1480,0000	76,4695
1479,0000	76,5021
1478,0000	76,563
1477,0000	76,5143
1476,0000	76,5981
1475,0000	76,5854
1474,0000	76,5032
1473,0000	76,5453
1472,0000	76,6216
1471,0000	76,5911
1470,0000	76,6219
1469,0000	76,6426
1468,0000	76,5976
1467,0000	76,6453
1466,0000	76,7317
1465,0000	76,7212
1464,0000	76,735
1463,0000	76,6931
1462,0000	76,6034
1461,0000	76,6205
1460,0000	76,6145
1459,0000	76,6178
1458,0000	76,7383
1457,0000	76,8707
1456,0000	76,9069
1455,0000	77,045
1454,0000	77,0058
1453,0000	76,9378
1452,0000	76,9885
1451,0000	76,9266
1450,0000	76,9419
1449,0000	76,9009
1448,0000	76,7962
1447,0000	76,6819
1446,0000	76,6926
1445,0000	76,6972
1444,0000	76,7635
1443,0000	76,9665
1442,0000	76,9634
1441,0000	76,9543
1440,0000	76,9472
1439,0000	76,7688
1438,0000	76,4379
1437,0000	76,3726
1436,0000	76,1457
1435,0000	76,079
1434,0000	76,2095
1433,0000	76,0229
1432,0000	75,9629
1431,0000	75,9015
1430,0000	75,9224
1429,0000	76,0311
1428,0000	76,0399
1427,0000	76,1462
1426,0000	76,1744
1425,0000	76,2444
1424,0000	76,5008
1423,0000	76,4731
1422,0000	76,503
1421,0000	76,7232
1420,0000	76,8802
1419,0000	77,0028
1418,0000	77,0922
1417,0000	76,9858
1416,0000	76,7403
1415,0000	76,5191
1414,0000	76,4573
1413,0000	76,4337
1412,0000	76,3528
1411,0000	76,5957
1410,0000	76,731
1409,0000	76,7094
1408,0000	76,9739
1407,0000	76,9022
1406,0000	76,7593
1405,0000	76,752
1404,0000	76,731
1403,0000	76,7487
1402,0000	76,8084
1401,0000	76,6618
1400,0000	76,6666
1399,0000	76,556
1398,0000	76,5713
1397,0000	76,8102
1396,0000	76,7713
1395,0000	76,8639
1394,0000	76,9936
1393,0000	77,0074
1392,0000	77,0444
1391,0000	77,1489
1390,0000	76,9464
1389,0000	76,8343
1388,0000	76,6985
1387,0000	76,8336
1386,0000	76,976
1385,0000	77,1591
1384,0000	77,1603
